snapshot,snapshot_date,destination_slug,region_slug,hotel,price_from_eur,stars,food,beach,airport,center,pool_verified_in_archived_card,direct_beach_verified,all_inclusive_verified,stars_verified,fully_verified,partial_candidate_without_pool,verification_notes,source_page,hotel_url
20250710064927,2025-07-10,turecko,antalya,Nest Hotel,313,4.5,Bez stravy,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/gvar-apart-otel#trt=p&minPrice=313&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=1
20250710064927,2025-07-10,turecko,antalya,Mori Club Hotel,316,4.5,Bez stravy,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/mori-club-hotel#trt=p&minPrice=316&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=2
20250710064927,2025-07-10,turecko,antalya,Argos Hotel,334,4.5,Bez stravy,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/argos#trt=p&minPrice=334&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=3
20250710064927,2025-07-10,turecko,antalya,Enda Lara Hotel,351,4.5,Bez stravy,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/enda-lara-hotel#trt=p&minPrice=351&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=4
20250710064927,2025-07-10,turecko,antalya,Triana,363,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/triana#trt=p&minPrice=363&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=5
20250710064927,2025-07-10,turecko,antalya,Lara Garden Butik Hotel,370,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/lara-garden-butik-hotel#trt=p&minPrice=370&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=6
20250710064927,2025-07-10,turecko,antalya,Mediterra Art Hotel,375,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/mediterra-art#trt=p&minPrice=375&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=7
20250710064927,2025-07-10,turecko,antalya,Aspen Hotel,376,4.5,Bez stravy,200 m,0:15,200 m,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/aspen#trt=p&minPrice=376&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=8
20250710064927,2025-07-10,turecko,antalya,Wise Hotel & Spa,377,4.5,Bez stravy,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/wise-boutique-hotel-spa#trt=p&minPrice=377&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=9
20250710064927,2025-07-10,turecko,antalya,Alp Pasa Hotel,381,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/alp-pasa#trt=p&minPrice=381&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=10
20250710064927,2025-07-10,turecko,antalya,Citrus Park Hotel,389,4.5,Bez stravy,0 m,0:15,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/citrus-park-hotel#trt=p&minPrice=389&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=11
20250710064927,2025-07-10,turecko,antalya,Cender Hotel,392,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/cender#trt=p&minPrice=392&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=12
20250710064927,2025-07-10,turecko,antalya,Castle Old Town Hotel,394,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/castle-boutique#trt=p&minPrice=394&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=14
20250710064927,2025-07-10,turecko,antalya,Niss Lara Hotel,394,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/seven-stars-exclusive#trt=p&minPrice=394&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=13
20250710064927,2025-07-10,turecko,antalya,Leaf Port Boutique Hotel,396,4.5,Raňajky,0 m,0:15,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/leaf-port-boutique-hotel#trt=p&minPrice=396&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=15
20250710064927,2025-07-10,turecko,antalya,Hotel Santamarina,401,4.5,Raňajky,0 m,0:15,5 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-santa-marina#trt=p&minPrice=401&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=16
20250710064927,2025-07-10,turecko,antalya,Falcon 1511,407,4.5,Raňajky,0 m,0:15,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/falcon-1511#trt=p&minPrice=407&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=18
20250710064927,2025-07-10,turecko,antalya,Karyatit Hotel,407,4.5,Bez stravy,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/karyatit#trt=p&minPrice=407&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=17
20250710064927,2025-07-10,turecko,antalya,Business Hotel Antalya,412,4.5,Bez stravy,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/business-hotel-antalya#trt=p&minPrice=412&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=19
20250710064927,2025-07-10,turecko,antalya,Güden Pearl,414,4.5,Bez stravy,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/guden-pearl-apart-hotel#trt=p&minPrice=414&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=20
20250710064927,2025-07-10,turecko,antalya,Start Otel,416,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/start-hotel#trt=p&minPrice=416&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=21
20250710064927,2025-07-10,turecko,antalya,Deluxe Ersoy Hotel,420,4.5,Bez stravy,0 m,0:15,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/dimo-hotel-antalya#trt=p&minPrice=420&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=22
20250710064927,2025-07-10,turecko,antalya,Lara Dinc Hotel,422,4.5,Raňajky,0 m,0:15,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/lara-dinc-hotel#trt=p&minPrice=422&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=23
20250710064927,2025-07-10,turecko,antalya,Pacco Boutique Hotel,423,4.5,Raňajky,0 m,0:15,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/pacco-boutique-hotel-spa#trt=p&minPrice=423&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=24
20250710064927,2025-07-10,turecko,antalya,Golden Orange,431,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/golden-orange-hotel#trt=p&minPrice=431&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=26
20250710064927,2025-07-10,turecko,antalya,La Paloma Hotel,431,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/la-paloma-boutique-hotel#trt=p&minPrice=431&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=25
20250710064927,2025-07-10,turecko,antalya,Latanya Palm Hotel,439,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/latanya-palm-hotel#trt=p&minPrice=439&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=27
20250710064927,2025-07-10,turecko,antalya,Hane Family Resort,447,4.5,---,400 m,1:00 h,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/hotel-hane-family
20250710064927,2025-07-10,turecko,antalya,Elips Royal Hotel & Spa,449,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/elips-royal-hotel-spa#trt=p&minPrice=449&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=28
20250710064927,2025-07-10,turecko,antalya,Sky Kamer Hotel,450,4.5,Raňajky,- - -,0:15,- - -,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/sky-kamer-boutique-hotel#trt=p&minPrice=450&svk_cnt_hotel_shw_total=0&ger_cnt_hotel_shw_total=29
20250710064927,2025-07-10,turecko,antalya,Alaiye Resort & Spa Hotel,484,4.5,---,120 m,2:00 h,2 km,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/alanya/hotel-alaiye-resort-spa
20250710064927,2025-07-10,turecko,antalya,Riviera Zen Hotel,514,4.5,---,0 m,2:30 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/alanya/hotel-sara
20250710064927,2025-07-10,turecko,antalya,Diamond Elite Hotel & Spa,520,4.5,---,350 m,1:00 h,10 km,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/hotel-diamond-elite-hotel-spa
20250710064927,2025-07-10,turecko,antalya,Antique Roman Palace Museum Hotel,570,4.5,---,0 m,2:45 h,2 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/alanya/hotel-antique-roman-palace
20250710064927,2025-07-10,turecko,antalya,White City Beach Hotel,583,4.5,---,0 m,2:15 h,7 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/alanya/hotel-white-city-beach
20250710064927,2025-07-10,turecko,antalya,Aska Lara Resort & Spa,605,4.5,---,350 m,0:15 h,450 m,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/aska-lara-deluxe
20250710064927,2025-07-10,turecko,antalya,Amara Family Resort,629,4.5,---,250 m,1:15 h,5 km,False,False,False,True,False,False,4*+ v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/hotel-saray-regency-resort-spa
20250710064927,2025-07-10,turecko,antalya,Adalya Elite Lara,642,4.5,---,0 m,0:15 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/adalya-elite-lara
20250710064927,2025-07-10,turecko,antalya,Akra Kemer,669,4.5,---,0 m,1:00 h,600 m,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/kemer/hotel-kemer-resort
20250710064927,2025-07-10,turecko,antalya,Fame Residence Lara & Spa,678,4.5,---,0 m,0:15 h,16 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-fame-residence-lara-resort
20250710064927,2025-07-10,turecko,antalya,Titanic Deluxe Lara,687,4.5,---,0 m,0:15 h,12 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-titanic-beach-resort
20250710064927,2025-07-10,turecko,antalya,Commodore Elite Suites & Spa,689,4.5,---,0 m,1:00 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/hotel-commodore-elite-suites-spa
20250710064927,2025-07-10,turecko,antalya,Melas Lara Hotel,707,4.5,---,0 m,0:15 h,15 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/melas-lara-resort
20250710064927,2025-07-10,turecko,antalya,Turunç Resort,708,4.5,---,0 m,1:00 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/egejska-riviera/hotel-turunc
20250710064927,2025-07-10,turecko,antalya,Adam & Eve Hotel,754,4.5,---,0 m,0:30 h,1 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-royal-adam-eve
20250710064927,2025-07-10,turecko,antalya,Barut Hemera,802,4.5,---,0 m,1:15 h,3 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/hotel-barut-hemera-resort-spa
20250710064927,2025-07-10,turecko,antalya,Royal Holiday Palace,837,4.5,---,0 m,0:15 h,500 m,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-royal-holiday-palace
20250710064927,2025-07-10,turecko,antalya,Adalya Resort & Spa Adults Only,842,4.5,---,0 m,1:00 h,10 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/hotel-adalya-resort
20250710064927,2025-07-10,turecko,antalya,Delphin Be Grand Resort,899,4.5,---,0 m,0:15 h,15 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-rixos-lares
20250710064927,2025-07-10,turecko,antalya,Acanthus Cennet Barut Collection,901,4.5,---,0 m,1:15 h,1.5 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/hotel-barut-cennet-acanthus
20250710064927,2025-07-10,turecko,antalya,Cornelia Diamond Golf Resort & Spa,908,4.5,---,0 m,0:30 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-cornelia-diamond-golf-resort
20250710064927,2025-07-10,turecko,antalya,Delphin Imperial Hotel,909,4.5,---,0 m,0:15 h,500 m,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-delhin-imperial
20250710064927,2025-07-10,turecko,antalya,Akra Sorgun Tui Blue Sensatori,959,4.5,---,0 m,1:15 h,3 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/barut-sorgun-sensatori
20250710064927,2025-07-10,turecko,antalya,Rixos Premium Tekirova,964,4.5,---,0 m,1:15 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/kemer/hotel-rixos-tekirova
20250710064927,2025-07-10,turecko,antalya,Ic Hotels Green Palace,995,4.5,---,0 m,0:15 h,25 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-ic-green-palace
20250710064927,2025-07-10,turecko,antalya,Rixos Premium Belek,1119,4.5,---,0 m,0:30 h,5 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-rixos-premium-belek
20250710064927,2025-07-10,turecko,antalya,Trendy Side Beach,1138,4.5,---,0 m,1:15 h,3 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/trendy-hotel-side-beach
20250710064927,2025-07-10,turecko,antalya,Delphin Palace,1355,4.5,---,0 m,0:15 h,500 m,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-delphin-palace
20250710064927,2025-07-10,turecko,antalya,Gloria Serenity Resort,1495,4.5,---,0 m,0:45 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-gloria-serenity-resort
20250710064927,2025-07-10,turecko,antalya,Maxx Royal Belek Golf Resort,1658,4.5,---,0 m,0:30 h,1 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-maxx-royal-belek-golf-spa
20250710064927,2025-07-10,turecko,antalya,Regnum Carya,1826,4.5,---,0 m,0:30 h,1 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-regnum-carya-golf
